"genotype" "gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "ssom$unit.classif" "ssom$distances"
"52" "tf2" "Solyc00g095760.1.1" 3.30432806017879 4.69003969077108 30.8798732413318 1.6115817122905 2.26608604974675 0.79820143614598 -0.232778185058766 -0.526094572129295 -0.107508688977032 -0.596824557583673 -0.539379933159191 2.00258593690796 -0.646291914972809 -0.728576035115076 -1.65066524496919 -0.0143251872909333 -1.29109006133441 -1.66533453693773e-15 18 0.0019153351543864
"53" "tf2" "Solyc00g099580.1.1" 97.4812678379609 73.2640243473221 55.5313304087388 24.3067190164302 19.7344661352247 42.9534869306142 1.90420457291903 -0.790510015456456 -0.274371052133332 0.222455307308 -0.705024265632245 -0.356754547005001 1.04984615189131 0.17614116613654 -0.700127421862662 2.02682409605316 0.704597936458883 -1.19348975147204e-15 3 0.0297321431923383
"54" "tf2" "Solyc00g102000.1.1" 290.373876358891 173.05700844769 46.0406719024456 205.298498039181 253.369030225756 31.4987301525556 2.0209620312095 -0.398023878913123 -0.601098230862109 -0.396743547376409 -0.165592077485924 -0.45950429657193 1.39667403920613 0.167754398487555 0.0231184162204708 2.03576334049529 -0.0608961937826042 1.11022302462516e-16 10 0.0134161256040215
"55" "tf2" "Solyc00g105750.1.1" 3.98462048592681 2.36883398559679 6.30020182152323 1.51331947720939 1.48674844658542 0.261519506603329 -0.460761384545939 -0.376483664098374 -0.359005878633695 -0.427861561046886 -0.415774683428339 2.03988717175323 -1.00527377619176 -0.712323973396972 -1.36956391203539 -0.0733939533093228 -1.3262365026095 -1.77635683940025e-15 18 0.0195723955740796
"56" "tf2" "Solyc00g112190.2.1" 30.3734956575996 3.09354119326498 141.261952775291 4.96814920752409 2.93484051359711 2.25085070783728 -0.282158907560645 -0.528158481144853 -0.185192788845725 -0.756948830315113 -0.241493803016532 1.99395281088287 -0.568007781386317 -0.949756523233667 -1.37695325584424 -0.0663636175230638 -1.48812890739904 -1.55431223447522e-15 18 0.00324268047289415
"57" "tf2" "Solyc00g121730.1.1" 63.2822089044503 25.638430142023 904.82321574218 13.7580055235725 22.9669708872837 5.57106412785645 -0.116062017181398 -0.549493346242468 -0.263667280567686 -0.522314897517535 -0.556567528035132 2.00810506954422 -0.715559780008897 -0.709576311677623 -1.62272436714995 0.193138659192487 -1.27935725820201 -1.77635683940025e-15 18 0.00249978038894671
"58" "tf2" "Solyc00g125980.1.1" 8.51984872524251 4.78495030602363 9.10461686283809 6.56544120963868 7.98651947461191 4.12405687438327 1.80885090569715 -0.0567848828284747 -1.08588589323596 -0.167130854964368 0.193887074823529 -0.692936349491881 1.04223469850127 0.272978246974597 0.820908524033315 2.0584891024821 -0.0752714107029306 6.66133814775094e-16 11 0.0602590819368356
"59" "tf2" "Solyc00g126000.1.1" 2.95867069313524 3.21310206327987 12.8225200797644 3.47600861118105 0.831502811959043 2.6536908653228 1.95336764049389 -0.110509712501528 -0.73573084055248 -0.218583076075515 -0.137426113122299 -0.751117898242065 1.31140108894008 0.480069901813416 0.397836016120255 2.00716044475756 0.104013479411505 7.7715611723761e-16 5 0.0108417673745303
"60" "tf2" "Solyc00g127660.2.1" 5.47281338891285 7.34438713830642 3.61859623621413 6.07685352061817 6.02042965054561 5.45419515474157 2.01678294145115 -0.264409534764298 -0.36095385727151 -0.698708018840219 -0.300155386335163 -0.392556144239964 1.62921780269937 0.334749089187477 -0.192149189925754 1.81258958743924 -0.27934741948112 8.32667268468867e-16 2 0.0525985556975062
"61" "tf2" "Solyc00g131710.1.1" 170.834214702932 106.706875841857 1407.87374598498 50.2330103784266 58.5958104320605 5.0664933566741 0.0564747186184816 -0.581160245489182 -0.280616708715883 -0.585620136021893 -0.583216680660691 1.97413905226917 -0.584397634610252 -0.684422793561618 -1.65712030150193 0.341711244671342 -1.30535556677223 -1.66533453693773e-15 18 0.00328837520346762
