"","ITAG","cluster"
"302","Solyc01g089950.2.1",1
"303","Solyc01g089990.1.1",6
"304","Solyc01g090170.2.1",5
"305","Solyc01g090210.2.1",6
"306","Solyc01g090230.2.1",5
"307","Solyc01g090390.1.1",1
"308","Solyc01g090400.2.1",4
"309","Solyc01g090410.2.1",1
"310","Solyc01g090460.2.1",4
"311","Solyc01g090510.2.1",1
"312","Solyc01g090560.2.1",2
"313","Solyc01g090790.2.1",4
"314","Solyc01g090800.2.1",3
"315","Solyc01g090870.1.1",6
"316","Solyc01g091140.2.1",6
"317","Solyc01g091170.2.1",4
"318","Solyc01g091510.2.1",3
"319","Solyc01g091540.1.1",4
"320","Solyc01g091550.2.1",2
"321","Solyc01g091700.2.1",3
"322","Solyc01g091840.2.1",5
"323","Solyc01g091920.2.1",2
"324","Solyc01g094360.2.1",6
"325","Solyc01g094410.2.1",4
"326","Solyc01g094490.2.1",3
"327","Solyc01g094570.2.1",4
"328","Solyc01g094650.2.1",6
"329","Solyc01g094770.2.1",6
"330","Solyc01g094840.2.1",4
"331","Solyc01g094850.1.1",5
"332","Solyc01g094880.2.1",4
"333","Solyc01g094970.2.1",3
"334","Solyc01g095010.2.1",4
"335","Solyc01g095090.2.1",1
"336","Solyc01g095130.2.1",3
"337","Solyc01g095160.2.1",5
"338","Solyc01g095320.2.1",1
"339","Solyc01g095330.2.1",1
"340","Solyc01g095360.2.1",4
"341","Solyc01g095370.2.1",4
"342","Solyc01g095530.2.1",1
"343","Solyc01g095680.2.1",5
"344","Solyc01g095700.2.1",3
"345","Solyc01g095730.2.1",4
"346","Solyc01g095950.1.1",1
"347","Solyc01g096030.2.1",2
"348","Solyc01g096050.2.1",1
"349","Solyc01g096200.2.1",3
"350","Solyc01g096220.2.1",6
"351","Solyc01g096260.2.1",3
"352","Solyc01g096280.1.1",3
"353","Solyc01g096360.2.1",2
"354","Solyc01g096410.2.1",1
"355","Solyc01g096440.2.1",4
"356","Solyc01g096460.2.1",4
"357","Solyc01g096490.2.1",4
"358","Solyc01g096620.2.1",1
"359","Solyc01g096740.2.1",3
"360","Solyc01g096930.2.1",1
"361","Solyc01g096950.2.1",4
"362","Solyc01g096960.2.1",2
"363","Solyc01g096980.1.1",3
"364","Solyc01g097030.2.1",4
"365","Solyc01g097150.2.1",3
"366","Solyc01g097170.2.1",1
"367","Solyc01g097230.2.1",2
"368","Solyc01g097250.2.1",4
"369","Solyc01g097270.2.1",3
"370","Solyc01g097320.2.1",4
"371","Solyc01g097380.1.1",5
"372","Solyc01g097400.1.1",6
"373","Solyc01g097430.2.1",1
"374","Solyc01g097510.2.1",2
"375","Solyc01g097520.2.1",3
"376","Solyc01g097540.2.1",1
"377","Solyc01g097640.2.1",4
"378","Solyc01g097680.2.1",1
"379","Solyc01g097710.1.1",1
"380","Solyc01g097720.1.1",1
"381","Solyc01g097790.2.1",2
"382","Solyc01g097860.2.1",2
"383","Solyc01g098020.2.1",1
"384","Solyc01g098120.2.1",5
"385","Solyc01g098190.2.1",1
"386","Solyc01g098240.1.1",6
"387","Solyc01g098400.2.1",3
"388","Solyc01g098450.2.1",6
"389","Solyc01g098500.2.1",2
"390","Solyc01g098560.2.1",2
"391","Solyc01g098650.2.1",2
"392","Solyc01g098770.1.1",1
"393","Solyc01g098820.2.1",5
