itag3	dPC1	dPC2	dPC3	dPC4	dPC5	dPC6	overall_distance	m82.PC1	m82.PC2	m82.PC3	m82.PC4	m82.PC5	m82.PC6	penn.PC1	penn.PC2	penn.PC3	penn.PC4	penn.PC5	penn.PC6	m82.inf	m82.veg	m82.leaf	m82.root	m82.seedling	m82.stem	penn.inf	penn.veg	penn.leaf	penn.root	penn.seed	penn.stem	cluster	distance
Solyc02g068740.2.1	0.107872952	0.748790105	1.283196774	-1.344928352	-0.375849444	-3.10E-11	2.041815915	-1.913719512	0.372540751	0.845236821	-1.090909473	-0.761868343	-4.55E-10	-2.021592464	-0.376249354	-0.437959953	0.254018879	-0.386018899	-4.24E-10	-0.551783096	-0.526796691	0.322741056	-0.614249106	1.909377731	-0.539289893	-0.06081803	-0.93930069	1.723177526	-0.587907627	0.560877391	-0.696028569	6	0.002367122
Solyc02g069920.2.1	-0.5243906	0.664220564	1.226845627	1.327689103	0.706418854	1.01E-11	2.117335732	1.923298829	0.836805537	0.821590521	0.88609453	-0.068353348	1.32E-11	2.447689429	0.172584973	-0.405255106	-0.441594573	-0.774772202	3.07E-12	-0.289952131	1.41905984	-0.955136431	-0.197849689	-0.97560364	0.999482051	-0.642602296	0.098611819	-0.974198084	0.729294005	-0.785643616	1.574538172	1	0.002247073
Solyc01g060020.2.1	1.600450647	-0.139908221	-0.444870441	-1.976243691	1.051538215	8.74E-10	2.791092624	0.812285018	0.182235451	-2.230686766	-1.588204252	1.300189432	4.59E-10	-0.788165629	0.322143672	-1.785816325	0.388039439	0.248651217	-4.15E-10	-0.54150515	-0.493594435	0.174417816	1.957380843	-0.549033976	-0.547665099	-0.608384283	-0.427309368	1.893741835	0.354605045	-0.608384283	-0.604268945	7	0.004542639
Solyc01g009690.1.1	-2.47254881	-0.194580151	-1.656170393	-1.462064035	-0.727227965	8.93E-10	3.400110466	-1.590305331	1.454080282	-0.648345141	-0.697528588	0.030728474	9.05E-10	0.882243479	1.648660433	1.007825252	0.764535447	0.757956439	1.19E-11	-1.290994446	0.092213888	1.19878056	0.092213888	0.922138892	-1.014352784	-0.483711952	1.995311801	-0.671822155	-0.275447084	-0.503866616	-0.060463994	9	0.008203675
Solyc12g039070.1.1	3.066883883	-1.577445694	-0.400335105	2.191741818	-0.721082381	9.28E-10	4.16870146	1.632254241	-1.281823433	0.793109971	0.660994236	-1.29982425	1.48E-11	-1.434629642	0.295622261	1.193445076	-1.530747582	-0.578741869	-9.13E-10	0.585150228	-0.449641754	-0.763775034	-0.505077039	-0.652904465	1.786248064	-0.40824829	-0.40824829	-0.40824829	-0.40824829	2.041241452	-0.40824829	2	0.009576451
Solyc01g109140.2.1	0.820202983	-0.208198375	-1.819265861	1.780606992	0.543203503	4.88E-10	2.737049337	-1.201021385	0.165400234	-1.218476094	0.815311004	-0.217910461	-4.13E-10	-2.021224368	0.373598609	0.600789767	-0.965295988	-0.761113964	-9.01E-10	-0.466567051	-0.466567051	2.033869962	-0.249137746	-0.385031062	-0.466567051	-0.597614304	-0.597614304	0.597614303	-0.597614304	1.792842915	-0.597614304	2	0.005779635
Solyc03g094020.2.1	-1.686280454	0.252265135	1.910549767	-0.709103987	-1.085557394	4.25E-10	2.870303677	-0.640477031	0.350212691	-0.103002906	-2.526523032	0.249407307	-1.91E-11	1.045803423	0.097947556	-2.013552673	-1.817419045	1.334964701	-4.44E-10	-0.626962328	-0.626962328	-0.626962328	0.877747256	1.630102056	-0.626962328	-0.451153204	-0.471544309	-0.211557717	2.031463863	-0.451153204	-0.446055428	8	0.00434049
Solyc03g096870.2.1	1.364427396	-0.717795254	1.071060898	0.578886894	-0.69599118	-4.51E-10	2.084125081	0.270283906	-2.298179824	0.103102672	0.943842758	-0.295942218	3.30E-11	-1.09414349	-1.58038457	-0.967958226	0.364955864	0.400048962	4.84E-10	1.471573538	-1.195036229	0.316042639	-0.464187626	-0.79998293	0.671590608	0.890061088	-1.348365699	1.393078343	-0.006986351	-0.36748205	-0.560305332	2	0.002729125
Solyc10g055240.1.1	0.961250483	-0.058399864	0.268273853	1.684000756	1.03042606	1.37E-09	2.212921216	-0.046074698	0.550210156	2.027467873	0.399985733	1.313444578	9.05E-10	-1.007325181	0.60861002	1.75919402	-1.284015023	0.283018518	-4.64E-10	0.642151982	1.539405436	-1.152354927	-0.63335538	0.255101472	-0.650948585	-0.105478753	0.438569553	-1.038132993	-0.388605933	1.76538124	-0.671733113	2	0.008228768
Solyc06g071430.2.1	0.294270436	-0.299706337	-2.167730958	-1.571025256	1.087849357	4.47E-10	2.920104975	2.089168614	0.919877088	-1.37115692	-0.925145859	0.667061578	4.55E-10	1.794898178	1.219583425	0.796574038	0.645879397	-0.420787779	7.99E-12	-0.922558971	0.511081341	-0.612317901	1.556103892	-0.955215926	0.422907564	-0.711484204	1.4287907	-0.893139745	-0.213095923	-0.68120828	1.070137452	4	0.002477371
Solyc08g077380.2.1	-0.683572147	2.095175412	0.528110754	0.367940397	2.856986238	9.02E-10	3.665198815	0.928487007	1.67586095	0.872350542	0.746996585	0.815016972	1.26E-11	1.612059154	-0.419314462	0.344239788	0.379056188	-2.041969266	-8.89E-10	-0.51834463	1.99153463	-0.627469815	-0.190969074	-0.572907222	-0.081843889	-0.40824829	-0.40824829	-0.40824829	-0.40824829	-0.40824829	2.041241452	6	0.014169005
Solyc03g031940.2.1	-0.6529958	-0.752330146	1.309133976	0.841389173	-0.180856641	-4.44E-10	1.856577711	1.83075946	-1.320361238	0.972486392	0.275941746	-0.139686705	1.13E-11	2.48375526	-0.568031092	-0.336647584	-0.565447427	0.041169936	4.55E-10	1.027610196	-0.077219263	-1.38875875	-0.084347195	-0.704477279	1.227192291	0.13765416	-0.081133909	-1.289937986	0.956286181	-0.947170012	1.224301565	1	0.001046539
