"","genotype","gene","Ambr","Aother","Bmbr","Bother","Cmbr","Cother","Ambr.1","Aother.1","Bmbr.1","Bother.1","Cmbr.1","Cother.1","PC1","PC2","PC3","PC4","PC5","PC6","ssom.unit.classif","ssom.distances"
"1658","tf2","Solyc05g050560.1.1",12.6618588359513,25.5837546312294,112.065523739285,7.28599275813749,6.1970587207738,6.89789077151699,-0.37940674389911,-0.0688531254185598,2.00957458786793,-0.508605639276519,-0.534776133989338,-0.517932945284398,-1.55420336328803,0.23342082737739,-0.884217551076856,-1.50551466499965,0.767440198330687,-1.66533453693773e-15,12,0.030562645671848
"1661","tf2","Solyc05g051050.2.1",2.07690399683015,1.56285998280982,13.8805621726158,2.57199920165577,1.78416991207268,1.7634292878873,-0.381585258492227,-0.486868583400055,2.03596721741896,-0.280182911828773,-0.441541248478519,-0.445789215219387,-1.45153695561135,-0.205126538727875,-1.00382595253176,-1.37227916980846,1.03758148364184,-1.33226762955019e-15,12,0.043326386350239
"1689","tf2","Solyc05g053410.2.1",19.3885523419748,21.7090722969414,107.625710183796,25.9047642517822,12.5623050941788,37.2905617551068,-0.50976810163009,-0.444140869451542,1.98569005293844,-0.325481407169965,-0.702822986627074,-0.00347668805977227,-1.12104010069568,-0.123439125964635,-1.41704253324381,-1.4374426023762,0.76764843632929,-2.08166817117217e-16,12,0.0652130520609585
"1727","tf2","Solyc06g006050.1.1",0.132245742403537,0.542676829336928,2.49482679398785,0.33711078261294,2.2662834442529,1.38777878078145e-17,-0.743458090082488,-0.375797142896826,1.37292347769422,-0.55994159455728,1.16819613829029,-0.861922788447908,-1.53141991447271,-1.17069264237774,0.884408471013237,-1.51755244992134,0.528769959888944,-4.10782519111308e-15,12,0.0804300913505689
"1741","tf2","Solyc06g008190.1.1",4.4801846895591,6.17611612038255,27.2581745596217,4.18206870862033,3.38050741886532,6.60645959217156,-0.457391728278226,-0.272717669300464,2.02295846053593,-0.489854295599929,-0.57713823539143,-0.225856531965878,-1.37735630958366,-0.00443066755660536,-1.15647238625395,-1.50919139886467,0.696904443644725,-1.08246744900953e-15,12,0.0498302287019332
"1777","tf2","Solyc06g034150.2.1",6.39508693516388,5.14194743280764,43.2742475005097,8.21220345905121,9.565768796545,4.69935344529476,-0.432339166637212,-0.515865569560749,2.02579388165542,-0.311221600198802,-0.221001442307156,-0.545366102951504,-1.52529706365673,-0.367690391347035,-0.770290542453894,-1.42701153963024,1.03917017248932,-1.55431223447522e-15,12,0.0418725586911347
"1810","tf2","Solyc06g050270.1.1",2.20386012450489,3.36815281684013,13.3721727832537,4.18045764023102,8.27962660440519,7.74512363175319,-1.04441185780953,-0.762997793370877,1.65501267599592,-0.566660563550207,0.424124491293098,0.294933047441597,-0.873226974873053,-1.35490370231538,-0.602806304155565,-1.73650836774727,0.221983363192795,-8.95117313604032e-16,12,0.0837645519708691
"1830","tf2","Solyc06g053230.2.1",10.5538613351521,15.6363684868473,76.7850394254374,13.6825041329828,18.8982793746272,14.0274738993823,-0.562713115518715,-0.363780942343139,2.02961224600774,-0.44025628618499,-0.236107925415913,-0.426753976544986,-1.4605101927705,-0.283787258215049,-0.78531203673462,-1.59812788625277,0.826720059144278,-1.83186799063151e-15,12,0.0246664211926795
"1865","tf2","Solyc06g061170.2.1",2.8251978352101,1.6093458481312,4.09064300613416,5.65345269601239,2.59662404432551,2.37692538377567,-0.252844854479465,-1.09088665458062,0.619379692785012,1.69656660339544,-0.41039231354895,-0.561822473571423,0.256340037615655,-0.542991394499513,-0.442501113567252,0.0886348886771695,2.39045752055126,1.49880108324396e-15,12,0.115858426096822
"1899","tf2","Solyc06g066380.1.1",25.8349896968145,42.8039003995123,66.0822642202365,10.2559726813312,36.0749514749906,26.0074575750412,-0.456720607048966,0.436663954756104,1.66223059399891,-1.27692960770795,0.0823961298104064,-0.447640463808509,-1.79375762012962,0.185120136789111,-0.129349524760835,-1.70603067730917,-0.266966482551203,-3.38618022510673e-15,12,0.0344474871807947
"1926","tf2","Solyc06g069480.2.1",23.5071571046506,20.9131779042649,49.134689841379,23.5678578904878,19.3743323665847,29.1037410906149,-0.37014188748486,-0.604722837101341,1.94742911108572,-0.364652542010525,-0.743885035274877,0.135973190785885,-1.13350077766673,-0.249897671469773,-1.59620159572915,-1.25957610144189,0.700763746718946,3.13984949151802e-16,12,0.0714271654381204
"1951","tf2","Solyc06g072430.1.1",6.19554763808007,12.1701785025329,21.03575502675,5.29276403167846,14.0547931769805,6.96027145583156,-0.78533236421188,0.201225044385629,1.66514815526648,-0.934403976410545,0.512420934409563,-0.659057793439248,-1.62395061576894,-0.300139308917134,0.315882863282505,-1.88737435576311,0.137749216129336,-3.71924713249427e-15,12,0.0661279911209973
