GeneID	GOID
Solyc01g005310.2.1	GO:0005525
Solyc01g005320.2.1	GO:0016021
Solyc01g005330.2.1	GO:0008017
Solyc01g005340.2.1	GO:0005515
Solyc01g005350.2.1	GO:0008757
Solyc01g005360.2.1	GO:0008757
Solyc01g005370.2.1	GO:0005509
Solyc01g005390.2.1	GO:0008486
Solyc01g005400.2.1	GO:0005509
Solyc01g005410.2.1	GO:0005509
Solyc01g005430.2.1	GO:0003676
Solyc01g005430.2.1	GO:0008270
Solyc01g005440.2.1	GO:0042802
Solyc01g005450.2.1	GO:0005515
Solyc01g005460.2.1	GO:0042803
Solyc01g005490.2.1	GO:0016787
Solyc01g005490.2.1	GO:0008152
Solyc01g005500.2.1	GO:0008152
Solyc01g005500.2.1	GO:0055114
Solyc01g005510.2.1	GO:0055114
Solyc01g005520.2.1	GO:0005515
Solyc01g005520.2.1	GO:0005488
Solyc01g005540.2.1	GO:0003676
Solyc01g005540.2.1	GO:0005737
Solyc01g005560.2.1	GO:0055114
Solyc01g005600.2.1	GO:0045454
Solyc01g005610.2.1	GO:0004091
Solyc01g005620.2.1	GO:0015367
Solyc01g005630.1.1	GO:0003677
Solyc01g005630.1.1	GO:0006355
Solyc01g005650.1.1	GO:0004842
Solyc01g005660.1.1	GO:0003677
Solyc01g005660.1.1	GO:0045449
Solyc01g005690.2.1	GO:0005509
Solyc01g005700.2.1	GO:0008270
Solyc01g005710.2.1	GO:0005515
Solyc01g005720.2.1	GO:0004675
Solyc01g005730.2.1	GO:0004675
Solyc01g005750.1.1	GO:0046872
Solyc01g005750.1.1	GO:0055114
Solyc01g005760.2.1	GO:0016301
Solyc01g005780.1.1	GO:0004675
Solyc01g005800.2.1	GO:0005516
Solyc01g005820.2.1	GO:0003676
Solyc01g005820.2.1	GO:0000166
Solyc01g005830.2.1	GO:0005975
Solyc01g005840.2.1	GO:0042296
Solyc01g005840.2.1	GO:0004842
Solyc01g005870.1.1	GO:0016301
Solyc01g005900.2.1	GO:0016020
Solyc01g005900.2.1	GO:0016747
Solyc01g005920.2.1	GO:0016020
Solyc01g005940.2.1	GO:0046905
Solyc01g005940.2.1	GO:0016767
Solyc01g005950.2.1	GO:0017018
Solyc01g005960.2.1	GO:0008026
Solyc01g005960.2.1	GO:0005524
Solyc01g005970.2.1	GO:0003779
Solyc01g006000.2.1	GO:0000030
Solyc01g006030.2.1	GO:0008270
Solyc01g006040.2.1	GO:0042803
Solyc01g006100.2.1	GO:0008017
Solyc01g006100.2.1	GO:0045545
Solyc01g006110.2.1	GO:0008601
Solyc01g006120.2.1	GO:0006468
Solyc01g006130.2.1	GO:0006457
Solyc01g006140.2.1	GO:0005515
Solyc01g006140.2.1	GO:0004693
Solyc01g006150.2.1	GO:0016020
Solyc01g006170.2.1	GO:0005515
Solyc01g006180.2.1	GO:0003924
Solyc01g006190.2.1	GO:0004842
Solyc01g006220.2.1	GO:0005634
Solyc01g006230.2.1	GO:0005515
Solyc01g006230.2.1	GO:0004197
