"","5th.SAM.1","5th.SAM.2","5th.SAM.3","5th.SAM.4","4th.leaf.1","4th.leaf.2","4th.leaf.3","4th.leaf.4"
"14357",8.51333188953182,0.036385117373972,19.0201733935942,8.63555503982493,1.38777878078145e-17,1.38777878078145e-17,1.38777878078145e-17,1.38777878078145e-17
"14360",207.809593447161,200.476145219129,259.367996294947,271.446585419637,232.867473425751,324.970011094719,297.748330559167,310.368529576352
"14361",54.9253680398396,50.7747555271954,37.061711480531,42.240123409705,38.8938511741725,48.7490627339228,39.2040047349271,33.6771399459162
"14362",15.9055029139232,26.3257356843919,0.00565593911127227,18.4357185135833,15.1947534653235,19.659762911025,24.7916184275848,18.8313157561345
"14363",127.041812331955,169.566213561518,155.228442517011,154.612727443794,162.753040131735,215.189804745887,152.987059164048,147.613048363008
"14365",115.72464631391,119.889345728433,130.183385012216,101.349658983682,116.60356356711,95.3794023892896,97.0894239065862,103.094699652211
"14366",182.255979731103,189.88939682552,149.238537832642,167.105460523648,159.419567443874,138.825049521963,118.445533050016,146.737172854622
"14367",27.8392785479101,43.636256519904,44.0595142149291,29.0226828962455,22.0850105115093,13.2010291430694,14.1916834008602,10.8860940996322
"14368",381.16210820917,387.165166552837,420.598480372918,351.748102894446,567.188910567565,643.587665728136,318.681438791587,505.54875566417
"14369",231.16012362421,270.524290647059,300.443852518077,375.190683490915,215.155593200389,309.167559200928,246.581595772423,287.585458657375
"14370",106.645002591904,106.555794828444,70.1175537717449,72.6816346552617,70.7580466857822,70.8962846354019,65.4142879075461,67.403157774871
"14371",219.897516119467,196.095466664564,185.280132579544,166.64863913037,106.311452787493,162.713306662843,134.003926722049,153.719855179366
"14373",3337.67668323196,3309.62200886546,3745.41065442932,3716.44618097584,4448.02059136122,4499.3401921072,4450.07832462426,4188.39545150756
"14374",144.584087097748,169.568253153223,137.215037335445,156.458360158338,126.599075453833,87.378685866075,108.950536900433,125.954625856186
"14375",1298.4030557561,1614.96846631581,1728.50172973344,1876.01354427034,1606.03572685863,1460.56415324151,1527.83912276096,1761.32345809336
"14376",0.198087616511647,24.2955044115237,16.0220279182894,12.9678255305774,16.4083325649922,16.2935436132879,11.015052314147,12.880786498531
"14377",39.1302383241654,37.5754698013003,33.0502258269353,28.2138289195923,37.1309443468266,35.0539815454953,37.0033572263758,39.6624367843017
"14378",32.9933505962034,36.5795100454728,30.0489597075775,43.0079828338144,38.8685516034395,35.1909935163508,54.8401899980158,33.6750556430256
"14380",103.893276610809,125.08590398049,141.206330583492,170.759280731134,157.758518561818,148.818797970504,145.108663667028,167.586503055946
"14381",31.6090271071849,22.3717312880944,18.0311737964805,24.2999708720381,26.6520030219812,0.409617105940209,24.7689707738315,22.8165273652923
"14382",49.1769785921893,65.0081522038639,75.101041749252,55.1138764609288,62.3467846390719,63.4495203558173,66.3332695259054,70.4035853472105
"14383",0.0360159302748451,10.0893849132776,0.000912248243753577,0,8.28294701452692,6.51783854893547,7.53482379801325,0
"14384",179.064163004222,171.71861841729,157.242245263322,166.425367670998,150.957067566876,172.967387285004,160.872877807589,147.661212720148
"14385",74.3487107531416,67.1411226886776,89.1224996495564,72.6539370449376,71.9338534135838,55.023523161075,74.6146415304886,55.4752040251155
"14386",450.160806135034,364.991721829536,370.562125936441,359.133026389393,360.263654099691,439.099253085211,588.416560173696,479.861598757569
"14387",24.2958263711031,10.2357581717623,16.0270363972577,30.2015727842239,1.38777878078145e-17,1.38777878078145e-17,1.38777878078145e-17,1.38777878078145e-17
"14389",23.4047532128256,18.3444860893461,32.0423574094113,26.0909689705465,25.1004713604517,23.2591551131608,34.64294041227,39.6927397712349
"14390",181.511535546967,226.550097562921,229.332548215315,231.733260637057,158.262855710438,135.576251437562,190.299740559597,171.529882734715
"14391",11.4378045663543,0.0177008679116617,0.00164204683875724,6.18840948351976,5.47241966986336,0.0983081054256507,4.36694549669977,7.94563324124291
"14392",64.3185526653499,48.7944240491755,44.0703470769984,45.6428495474013,53.5588582680481,58.6402380692818,45.917005509107,46.5713131767097
"14393",13.5231169667853,9.11517585774657,0.00200694613625796,0,7.14945477158442,9.80629184776209,10.8115283872827,8.9202311381849
"14394",575.166573066712,612.448659709169,526.815825177768,569.01201883308,563.847704353761,697.484760941956,517.75575557409,600.763188254121
"14395",38.3933593688535,43.704915688133,51.0710075833252,44.2250526804752,42.767632020458,40.3457308341373,37.0653266340217,34.6778377525557
"14396",29.7807735795911,0.126856220033579,51.0605140447571,44.2789257515541,39.7439553470759,33.1558282593674,42.4166878636744,52.5863412294826
"14397",9.49920189768903,0.030484828070084,9.01246288711012,11.554095726579,5.57385415575054,5.34375041422233,0.0574219516992349,0
"14398",91.0827465369418,92.4126233979291,87.1276452219386,68.3341796596982,84.5905703676827,81.7281615916836,79.3395779887083,64.3792637128772
"14399",14.9715157403417,14.2622488262093,22.0303092529507,22.8428470477825,17.3488579502829,14.2158963176354,9.97603361515526,15.8665564750897
"14400",37.1156108373966,36.5795100454728,36.0535625534105,33.6812837353971,34.6123292190996,34.7678158986899,33.6013955717654,19.7817844713953
"14401",182.928471894249,142.414501533531,142.224704607071,172.637718965001,153.063315967424,140.396264991325,171.123147173169,150.665413291267
"14402",171.793587786423,213.320793973977,213.309144822078,209.57750396019,250.212254934812,183.56082693184,208.915198800628,194.228882052869
"14403",38.3589422082226,42.6870083552124,44.0649903712476,47.1130785688094,37.930207979991,40.4116007190365,43.3852048872003,39.6490717344671
"14404",48.8518827649594,50.8028039824033,44.0696483675979,54.0959443229416,55.4248822171172,53.4545732108768,39.6702583448075,58.5159334945667
"14405",58.8062668491183,70.1469774432218,87.1191605455556,76.5598396856302,46.5463304544934,66.2727839355542,71.2387490661549,51.5177745282605
"14406",0.108047790824536,0.0295014465194368,12.0142840815673,16.2884808790184,9.86286542751608,15.1469514174221,13.0133644864983,9.90401918536809
"14408",29.7948206765553,28.4846736917146,35.0500551324807,34.8838017259351,32.5518719805182,28.6250853739182,26.4138071943617,46.6503112120801
"14409",518.775931370839,498.050951697026,506.756126803868,515.739691671796,458.913636949887,578.911296617355,434.064374382043,475.784693619511
"14410",15.7916166341444,11.1826839761999,10.0161096804009,9.39207733196688,0,0.0655387369504334,0.0626421291264381,11.9414929460062
"14411",23.4739284932395,35.5019750372263,22.0367750774788,28.7048926649093,32.5899667077607,32.7793692375195,37.8644918339336,28.7295238610304
"14412",0.0396175233023297,5.06194394072616,6.00633618722181,0,10.231122482736,0.109231228250724,0.104403548544064,8.93929061519631
"14414",0.10444619779705,16.1785436703378,0.00264551990688533,11.5958786540553,12.8083367581272,4.58929176497235,12.9367090667255,9.91144912814579
"14415",55.438198081809,56.9624011544524,69.0986929976788,71.7025194589233,50.3778864348395,47.4195757217583,59.7513698156739,73.4272754325548
"14416",805.880711681475,875.78145710527,886.290779664427,830.720801781589,734.122492805817,750.737430926991,845.836194256626,811.009192739636
"14417",27.8524607646037,39.6093921374924,48.0626700375603,30.8428957853264,47.1391967193691,45.8989797552947,43.6357448950465,48.5833605959813
"14418",14.7323222107721,14.1978571716531,15.0189649882968,0,0,7.35100412099385,0.0365412419904221,0
"14419",30.9027225358075,37.5795047454285,32.0498209634538,38.4123630974616,33.959680473294,0.540694579841075,31.278399367906,32.7473612546177
"14422",214.979740283907,314.302488569634,367.533775591405,489.835087067277,248.910146528392,279.928831708413,347.640707886961,374.997697635667
"14423",0.136860535044412,0.0373684989246206,16.0185597650397,19.8804953923467,0,0.174769965201155,18.0200786640703,14.9012608396133
"14424",585.175542071914,667.66794377217,684.005348720218,727.719360504228,258.298673274558,276.871919460769,333.141683121586,389.927033040603
"14425",204.605734395869,221.333048503515,166.269038229466,193.260639261812,173.956068576973,158.226012888546,150.327383043968,136.72247712814
"14426",164.494968423989,100.832098175947,119.18511341456,134.815607278632,169.9451538444,156.299777147863,164.042856558464,144.670320046897
"14427",44.7002975253974,52.8107077069571,45.069712751892,51.3712166377451,59.7075578595278,22.6744842181675,58.0839079538222,31.6733375928033
"14428",43.4479804393615,49.7237573498787,41.061116118922,30.5422599066016,43.5372828940622,51.9805526345061,41.3839080409584,32.6725615503535
"14429",59.2670566897955,59.9061444886987,55.0808390886376,40.8030716305413,52.6065615401228,46.1022163598811,54.2642763644206,51.549199731078
"14430",377.335146405445,311.085936634868,359.509267708178,261.201975198306,746.254103323536,527.662485385989,621.543858348465,517.090213916057
"14431",52.7765298022523,28.5654984639244,52.0707519320956,39.661898939685,10.7514674539597,7.8686249903466,16.1912204036538,17.86424409103
"14432",143.282138555001,136.228801193497,155.221575416858,136.654490474426,213.805814621817,194.43928572103,207.251227107693,164.427745096033
"14433",433.586312752389,427.009709318325,497.704889283556,444.643255651128,484.268147828551,580.932009567174,526.694402263336,536.322998872169
"14434",119.496939495369,136.209392741755,150.216073243279,153.611077336109,190.134024563566,185.156110966537,151.077822985339,167.504046451126
"14435",727.314784799745,672.964550502647,698.039717551074,702.010236030676,892.834829864639,784.188461970413,764.457215614916,787.007159839554
